model,trial,val_ndcg5,learning_rate,num_leaves,max_depth,min_child_samples,bagging_fraction,feature_fraction,lambda_l2,min_gain_to_split,eta,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
xgb,23,0.40748274882752744,,,9,,,,,,0.07339061718612366,24.0,0.6193752959613393,0.7480195118193992,0.06382642484946734,35.99635817141213,4.348711180319339
xgb,24,0.40432003739453237,,,9,,,,,,0.07667604506718595,33.0,0.6265438160196998,0.7463461448529243,0.011998564225314968,2.2237439989621692,4.964766079131466
xgb,25,0.4075659184266019,,,10,,,,,,0.04628369768782071,25.0,0.6113621475469477,0.7305883778847562,0.05981876811795397,38.83456908920082,4.398875311710482
xgb,26,0.4045730460036266,,,10,,,,,,0.04640954388988518,43.0,0.6881060490730231,0.7049731884017023,0.5385752122300886,4.510227231970889,4.480282325575905
xgb,27,0.4075232438687572,,,10,,,,,,0.03289286309024037,16.0,0.7542512043154536,0.620071494794409,0.01794437668235584,0.47418922634179367,3.741474615215614
xgb,28,0.4033285963478255,,,5,,,,,,0.03739059518327634,27.0,0.5508683416297144,0.8325873147129733,0.06731360752649358,12.193410248627348,4.134259708493496
xgb,29,0.40588280477235866,,,12,,,,,,0.053779542161039987,35.0,0.611290801236054,0.5597049780411142,0.001034695816935392,0.15937945128601316,4.611137549132181
xgb,30,0.4062617022174746,,,11,,,,,,0.028142865217198748,30.0,0.8112271899455037,0.6637391979068151,0.006846154285849624,0.0016357837908152716,3.035137158145827
xgb,31,0.4066730136357682,,,10,,,,,,0.03159611839964437,16.0,0.764231193078641,0.6120029178989832,0.019792516055325386,34.12787200123817,3.695376441756382
xgb,32,0.3994370775981553,,,10,,,,,,0.022861713425223498,12.0,0.8001205823756931,0.5909228632596608,0.010734201491787746,0.9243877904812404,4.2756984393633
xgb,33,0.40655958818594023,,,8,,,,,,0.040551987056481144,18.0,0.7200577320933872,0.5219445786989944,0.021947976573821252,3.2243548703291087,3.7196338553015913
xgb,34,0.4063102403857537,,,10,,,,,,0.03186259659265006,24.0,0.5477822391424964,0.7245757892310976,0.005164303294579772,0.005822237066801759,4.698707456902114
xgb,35,0.4041121134763921,,,11,,,,,,0.026489709355714004,6.0,0.6783102173775007,0.6378765475171246,0.08510154275850888,0.35194211237395867,2.1051660135841797
xgb,36,0.40410916531567737,,,8,,,,,,0.017697659665686954,13.0,0.7453610844992351,0.8117839082257073,0.3620532123517012,1.6820711365274383,3.6650435940442523
xgb,37,0.3996084642505566,,,9,,,,,,0.03434360906591949,23.0,0.6406969053896814,0.773304146370026,0.04110618017160185,0.009146519644358458,4.184278444686005
xgb,38,0.40480963416116744,,,6,,,,,,0.0424951206036174,29.0,0.8348693138543353,0.6622250532435199,0.00911406479598877,0.6139509442089814,3.1407290023071504
xgb,39,0.40732873677531,,,12,,,,,,0.02410926626548093,38.0,0.748562324458145,0.7178586448322042,0.003660979066947292,0.13597408507948439,2.4102827929562203
xgb,40,0.40641396662052465,,,8,,,,,,0.047915240825395264,19.0,0.6015185780164164,0.6060010359941772,0.027887803586538543,7.071203272813327,0.03711975209238361
xgb,41,0.40804392184542565,,,9,,,,,,0.06856673575268189,24.0,0.6261271086752086,0.7663644125099912,0.06736272192869845,37.204681363209275,4.365146880423992
xgb,42,0.40809247720670533,,,9,,,,,,0.05554739715114884,25.0,0.540006168509837,0.5005167229658185,0.11300654642754453,51.40746005902576,4.69833643914263
xgb,43,0.40629683484641815,,,9,,,,,,0.06704376311131814,25.0,0.5312335187590735,0.9101386843387772,0.11030512775366799,47.855428575573285,4.721158755871356
xgb,44,0.4046400001875255,,,8,,,,,,0.05530874492097953,32.0,0.5349526070823055,0.5007250058963767,0.2511337607987063,19.226702894842138,4.424633162549393
xgb,45,0.4059494098230084,,,11,,,,,,0.08007420475344576,22.0,0.5695256803975742,0.8533127048258264,0.04753469537295937,60.402373253222116,4.806147202657644
xgb,46,0.40655502435749746,,,7,,,,,,0.08618351198972625,26.0,0.6384453496421367,0.8023245111241688,0.4987464670666447,12.851422171953763,4.075833726187603
xgb,47,0.40829624152484406,,,9,,,,,,0.06734767487069691,21.0,0.9655789338036684,0.7646520296544782,0.2559564775394791,94.11856442858769,4.350104338836775
xgb,48,0.40841604931507997,,,9,,,,,,0.06937579365043442,22.0,0.9641878930647396,0.7680349087570378,6.785855955116772,20.926764063218602,3.927601095596552
xgb,49,0.4085585258275858,,,9,,,,,,0.06867780539963897,18.0,0.9754828852273139,0.7645462358249081,7.503756432701788,99.2452600379972,1.6273833286439432
